DEPARTMENT,CATEGORY,SUBCATEGORY,SUBSUBCATEGORY,GENDER,SKU,SKU_VARIANT,PRODUCT_NAME,PRICE_RETAIL,PRICE_CURRENT,PRICE_RETAIL_RAW,PRICE_LABEL,PRICE_CURRENT_RAW,BRAND,PROMOTION,URL,SOURCE_URL,BREADCRUMBS,SORT_BY_RANKING,SCAN_DATE,TID
Herren,Bekleidung,T-Shirts & Polos,T-Shirts basic,men,CZ522O06S-J11,,BRO - T-Shirt basic - pink,39.95,29.95,"39,95?€",,"29,95?€",CHASIN',,https://www.zalando.de/herren/?q=CZ522O06S-J11,https://www.zalando.de/herrenbekleidung-shirts-basic/,Herren>Bekleidung>T-Shirts & Polos>T-Shirts basic,1,2023/1/29 1:31,24425898
Herren,Bekleidung,T-Shirts & Polos,T-Shirts basic,men,JA222O37Z-Q11,,3 PACK  - T-Shirt basic - black/white/grey,38.85,36.95,"38,85?€",,"36,95?€",Jack & Jones,,https://www.zalando.de/herren/?q=JA222O37Z-Q11,https://www.zalando.de/herrenbekleidung-shirts-basic/,Herren>Bekleidung>T-Shirts & Polos>T-Shirts basic,2,2023/1/29 1:31,24425899
Herren,Bekleidung,T-Shirts & Polos,T-Shirts basic,men,E2C22O012-B11,,DISCREET OVERSIZED TEE - T-Shirt basic - beige,49.9,49.9,"49,90?€",,"49,90?€",ESTEEM,,https://www.zalando.de/herren/?q=E2C22O012-B11,https://www.zalando.de/herrenbekleidung-shirts-basic/,Herren>Bekleidung>T-Shirts & Polos>T-Shirts basic,3,2023/1/29 1:31,24425900
Herren,Bekleidung,T-Shirts & Polos,T-Shirts basic,men,MA322O03J-A11,,C-NECK - T-Shirt basic - white,19.95,19.95,"19,95?€",,"19,95?€",Marc O'Polo,,https://www.zalando.de/herren/?q=MA322O03J-A11,https://www.zalando.de/herrenbekleidung-shirts-basic/,Herren>Bekleidung>T-Shirts & Polos>T-Shirts basic,4,2023/1/29 1:31,24425901
Herren,Bekleidung,T-Shirts & Polos,T-Shirts basic,men,BEJ22O0OZ-Q11,,OVERSIZED SHORT SLEEVE 02295443 - T-Shirt basic - black,9.99,9.99,"9,99?€",,"9,99?€",Bershka,,https://www.zalando.de/herren/?q=BEJ22O0OZ-Q11,https://www.zalando.de/herrenbekleidung-shirts-basic/,Herren>Bekleidung>T-Shirts & Polos>T-Shirts basic,5,2023/1/29 1:31,24425902
Herren,Bekleidung,T-Shirts & Polos,T-Shirts basic,men,MA322O03J-K11,,C-NECK - T-Shirt basic - navy,19.95,17,"19,95?€",ab,"17,00?€",Marc O'Polo,,https://www.zalando.de/herren/?q=MA322O03J-K11,https://www.zalando.de/herrenbekleidung-shirts-basic/,Herren>Bekleidung>T-Shirts & Polos>T-Shirts basic,6,2023/1/29 1:31,24425903
Herren,Bekleidung,T-Shirts & Polos,T-Shirts basic,men,CZ522O06U-M11,,BRODY - T-Shirt basic - green,35,35,"35,00?€",,"35,00?€",CHASIN',,https://www.zalando.de/herren/?q=CZ522O06U-M11,https://www.zalando.de/herrenbekleidung-shirts-basic/,Herren>Bekleidung>T-Shirts & Polos>T-Shirts basic,7,2023/1/29 1:31,24425904
Herren,Bekleidung,T-Shirts & Polos,T-Shirts basic,men,JA222O37Z-A11,,3 PACK  - T-Shirt basic - white/white/black,38.85,36.95,"38,85?€",,"36,95?€",Jack & Jones,,https://www.zalando.de/herren/?q=JA222O37Z-A11,https://www.zalando.de/herrenbekleidung-shirts-basic/,Herren>Bekleidung>T-Shirts & Polos>T-Shirts basic,8,2023/1/29 1:31,24425905
Herren,Bekleidung,T-Shirts & Polos,T-Shirts basic,men,PUC22O1BR-A12,,SHORT SLEEVE - T-Shirt basic - white,9.99,9.99,"9,99?€",,"9,99?€",PULL&BEAR,,https://www.zalando.de/herren/?q=PUC22O1BR-A12,https://www.zalando.de/herrenbekleidung-shirts-basic/,Herren>Bekleidung>T-Shirts & Polos>T-Shirts basic,9,2023/1/29 1:31,24425906
Herren,Bekleidung,T-Shirts & Polos,T-Shirts basic,men,BEJ22O0OZ-A11,,OVERSIZED SHORT SLEEVE 02295443 - T-Shirt basic - off white,9.99,9.99,"9,99?€",,"9,99?€",Bershka,,https://www.zalando.de/herren/?q=BEJ22O0OZ-A11,https://www.zalando.de/herrenbekleidung-shirts-basic/,Herren>Bekleidung>T-Shirts & Polos>T-Shirts basic,10,2023/1/29 1:31,24425907
Herren,Bekleidung,T-Shirts & Polos,T-Shirts basic,men,MA322O03J-Q11,,C-NECK - T-Shirt basic - black,19.95,16,"19,95?€",,"16,00?€",Marc O'Polo,,https://www.zalando.de/herren/?q=MA322O03J-Q11,https://www.zalando.de/herrenbekleidung-shirts-basic/,Herren>Bekleidung>T-Shirts & Polos>T-Shirts basic,11,2023/1/29 1:31,24425908
Herren,Bekleidung,T-Shirts & Polos,T-Shirts basic,men,PUC22O1BR-Q11,,SHORT SLEEVE - T-Shirt basic - mottled black,9.99,9.99,"9,99?€",,"9,99?€",PULL&BEAR,,https://www.zalando.de/herren/?q=PUC22O1BR-Q11,https://www.zalando.de/herrenbekleidung-shirts-basic/,Herren>Bekleidung>T-Shirts & Polos>T-Shirts basic,12,2023/1/29 1:31,24425909
Herren,Bekleidung,T-Shirts & Polos,T-Shirts basic,men,HU342K007-Q11,,2 PIECE SET - kurze Sporthose - black,34.95,34.95,"34,95?€",,"34,95?€",Hummel,,https://www.zalando.de/herren/?q=HU342K007-Q11,https://www.zalando.de/herrenbekleidung-shirts-basic/,Herren>Bekleidung>T-Shirts & Polos>T-Shirts basic,13,2023/1/29 1:31,24425910
